Dose,Ligand,Skew,Date,Variance,Mean,Kurtosis,alphStatCov,Cell,Time,Bivalent
84,IL2,5.4110065,3/19/2019,435473660,16374.072,150.8472,775991.0844,Treg,4,0
28,IL2,1.3786159,3/19/2019,460988060,17335.598,2.0027199,312885.9345,Treg,4,0
9.333333,IL2,85.95638,3/19/2019,5439667000,19077.42,8172.8193,543858.4273,Treg,4,0
3.111,IL2,0.68416905,3/19/2019,209138900,17512.873,0.96122074,8447.642929,Treg,4,0
1.037037,IL2,0.73747796,3/19/2019,92426430,12621.281,1.4698586,42340.95034,Treg,4,0
0.345679,IL2,3.719838,3/19/2019,225995180,8544.198,15.4862385,-53008.58189,Treg,4,0
0.115226,IL2,3.2696242,3/19/2019,25819548,1546.8145,12.930188,-401789.7604,Treg,4,0
0.038409,IL2,5.13397,3/19/2019,17774110,343.42188,28.954739,-99477.80213,Treg,4,0
0.012803,IL2,1.0188844,3/19/2019,3535378.2,0,1.651257,-29751.90197,Treg,4,0
0.004268,IL2,1.6431541,3/19/2019,4524802.5,199.52441,6.563939,21177.68705,Treg,4,0
0.001423,IL2,0.98516303,3/19/2019,3339600.2,87.83789,1.8436799,-2504.412288,Treg,4,0
0.000474,IL2,1.1711565,3/19/2019,3462858.2,70.94141,2.8209367,-20227.00259,Treg,4,0
84,IL2,4.7955413,3/19/2019,494939680,18516.197,155.82095,769235.2182,Thelper,4,0
28,IL2,1.2584503,3/19/2019,429210780,17967.549,1.4181099,113825.2227,Thelper,4,0
9.333333,IL2,1.1912619,3/19/2019,490960600,19422.521,1.0195723,184535.8171,Thelper,4,0
3.111,IL2,1.8402238,3/19/2019,341408700,15613.811,5.8400316,811233.4793,Thelper,4,0
1.037037,IL2,2.1137009,3/19/2019,226472270,11358.521,5.411792,814119.9323,Thelper,4,0
0.345679,IL2,2.9353843,3/19/2019,469551550,11528.477,9.37988,896509.1783,Thelper,4,0
0.115226,IL2,5.1007543,3/19/2019,293790460,5126.8286,27.807331,1552528.452,Thelper,4,0
0.038409,IL2,4.684412,3/19/2019,116558170,2860.8423,22.990915,712389.8167,Thelper,4,0
0.012803,IL2,8.121351,3/19/2019,19096662,762.42944,74.39382,133884.0273,Thelper,4,0
0.004268,IL2,1.1879015,3/19/2019,1833862.4,0,1.937293,25486.74909,Thelper,4,0
0.001423,IL2,1.286412,3/19/2019,2778126.5,18.953613,1.5900726,-113465.7764,Thelper,4,0
0.000474,IL2,2.5152078,3/19/2019,5184225.5,774.3721,10.606181,-236428.3109,Thelper,4,0
84,IL2,2.739952,3/19/2019,733883400,20351.041,39.98348,185828.5008,Treg,2,0
28,IL2,1.378068,3/19/2019,679924000,19983.217,1.6552501,55711.77083,Treg,2,0
9.333333,IL2,0.7729262,3/19/2019,455921100,21814.24,0.470958,19372.19606,Treg,2,0
3.111,IL2,0.53627026,3/19/2019,270229220,20362.203,0.7339709,-201826.9337,Treg,2,0
1.037037,IL2,0.9252267,3/19/2019,46222024,7178.771,0.52653456,23142.7773,Treg,2,0
