Date,Plate,Name,Panel,Gate
4-23,1,CD3CD4,1,"PolyGate([(5.0e03, 7.3e03), (5.3e03, 5.6e03), (8.0e03, 5.6e03), (8.0e03, 7.3e03)], ('VL4-H', 'VL6-H'), region='in', name='cd3cd4')"
4-23,1,T-helper,1,"PolyGate([(0.2e03, 6.8e03), (0.2e03, 4.4e03), (3.7e03, 4.4e03), (5.7e03, 5.9e03), (5.7e03, 6.8e03)], ('VL1-H', 'BL1-H'), region='in', name='thelp')"
4-23,1,Naive Th,1,"ThresholdGate(7000.0, ['BL3-H'], region='above') & ThresholdGate(8700.0, ['BL3-H'], region='below')"
4-23,1,Mem Th,1,"ThresholdGate(6500.0, ['BL3-H'], region='below') & ThresholdGate(2000.0, ['BL3-H'], region='above')"
4-23,1,T-reg,1,"PolyGate([(3.8e03, 4.4e03), (3.8e03, 3.0e03), (6.5e03, 2.9e03), (6.5e03, 5.0e03), (5.7e03, 5.8e03)], ('VL1-H', 'BL1-H'), region='in', name='treg')"
4-23,1,Naive Treg,1,"ThresholdGate(7100.0, ['BL3-H'], region='above') & ThresholdGate(8700.0, ['BL3-H'], region='below')"
4-23,1,Mem Treg,1,"ThresholdGate(6600.0, ['BL3-H'], region='below') & ThresholdGate(500.0, ['BL3-H'], region='above')"
4-23,1,NK,2,"PolyGate([(3.3e3, 5.4e3), (5.3e3, 5.4e3), (5.3e3, 7.3e3), (3.3e3, 7.3e3)], ('VL4-H', 'BL3-H'), region='in', name='nk')"
4-23,1,NKT,2,"PolyGate([(5.6e3, 5.1e3), (7.6e3, 5.1e3), (7.6e3, 7.1e3), (5.6e3, 7.1e3)], ('VL4-H', 'BL3-H'), region='in', name='nkt')"
4-23,1,CD8+,3,"PolyGate([(4.2e3, 5.7e3), (8.1e3, 5.7e3), (8.1e3, 8.0e3), (4.2e3, 8.0e3)], ('VL4-H', 'VL6-H'), region='in', name='cd8')"
4-23,1,Naive CD8+,3,"ThresholdGate(7400.0, ['BL3-H'], region='above') & ThresholdGate(8800.0, ['BL3-H'], region='below')"
4-23,1,Mem CD8+,3,"ThresholdGate(3500.0, ['BL3-H'], region='above') & ThresholdGate(6800.0, ['BL3-H'], region='below')"
4-23,2,CD3CD4,1,"PolyGate([(5.1e03, 7.3e03), (5.1e03, 5.6e03), (7.8e03, 5.6e03), (7.8e03, 7.3e03)], ('VL4-H', 'VL6-H'), region='in', name='cd3cd4')"
4-23,2,T-helper,1,"PolyGate([(0.2e03, 6.8e03), (0.2e03, 4.4e03), (3.7e03, 4.6e03), (5.7e03, 6.1e03), (5.7e03, 6.8e03)], ('VL1-H', 'BL1-H'), region='in', name='thelp')"
4-23,2,Naive Th,1,"ThresholdGate(7100.0, ['BL3-H'], region='above') & ThresholdGate(8700.0, ['BL3-H'], region='below')"
4-23,2,Mem Th,1,"ThresholdGate(6600.0, ['BL3-H'], region='below') & ThresholdGate(2000.0, ['BL3-H'], region='above')"
4-23,2,T-reg,1,"PolyGate([(3.8e03, 4.6e03), (3.8e03, 3.0e03), (6.5e03, 2.9e03), (6.5e03, 5.2e03), (5.7e03, 6.0e03)], ('VL1-H', 'BL1-H'), region='in', name='treg')"
4-23,2,Naive Treg,1,"ThresholdGate(7200.0, ['BL3-H'], region='above') & ThresholdGate(8700.0, ['BL3-H'], region='below')"
4-23,2,Mem Treg,1,"ThresholdGate(6800.0, ['BL3-H'], region='below') & ThresholdGate(500.0, ['BL3-H'], region='above')"
4-23,2,NK,2,"PolyGate([(3.3e3, 5.4e3), (5.3e3, 5.4e3), (5.3e3, 7.3e3), (3.3e3, 7.3e3)], ('VL4-H', 'BL3-H'), region='in', name='nk')"
4-23,2,NKT,2,"PolyGate([(5.8e3, 5.1e3), (7.9e3, 5.1e3), (7.9e3, 7.3e3), (5.8e3, 7.3e3)], ('VL4-H', 'BL3-H'), region='in', name='nkt')"
4-23,2,CD8+,3,"PolyGate([(4.5e3, 5.7e3), (8.1e3, 5.7e3), (8.1e3, 8.0e3), (4.5e3, 8.0e3)], ('VL4-H', 'VL6-H'), region='in', name='cd8')"
4-23,2,Naive CD8+,3,"ThresholdGate(7500.0, ['BL3-H'], region='above') & ThresholdGate(8800.0, ['BL3-H'], region='below')"
4-23,2,Mem CD8+,3,"ThresholdGate(3700.0, ['BL3-H'], region='above') & ThresholdGate(6900.0, ['BL3-H'], region='below')"
4-26,1,CD3CD4,1,"PolyGate([(5.1e03, 7.3e03), (5.1e03, 5.6e03), (7.8e03, 5.6e03), (7.8e03, 7.3e03)], ('VL4-H', 'VL6-H'), region='in', name='cd3cd4')"
4-26,1,T-helper,1,"PolyGate([(0.2e03, 6.8e03), (0.2e03, 4.4e03), (3.7e03, 4.6e03), (5.7e03, 6.1e03), (5.7e03, 6.8e03)], ('VL1-H', 'BL1-H'), region='in', name='thelp')"
4-26,1,Naive Th,1,"ThresholdGate(7100.0, ['BL3-H'], region='above') & ThresholdGate(8700.0, ['BL3-H'], region='below')"
4-26,1,Mem Th,1,"ThresholdGate(6600.0, ['BL3-H'], region='below') & ThresholdGate(2000.0, ['BL3-H'], region='above')"
4-26,1,T-reg,1,"PolyGate([(3.8e03, 4.6e03), (3.8e03, 3.0e03), (6.5e03, 2.9e03), (6.5e03, 5.2e03), (5.7e03, 6.0e03)], ('VL1-H', 'BL1-H'), region='in', name='treg')"
4-26,1,Naive Treg,1,"ThresholdGate(7150.0, ['BL3-H'], region='above') & ThresholdGate(8700.0, ['BL3-H'], region='below')"
4-26,1,Mem Treg,1,"ThresholdGate(6600.0, ['BL3-H'], region='below') & ThresholdGate(500.0, ['BL3-H'], region='above')"
4-26,1,NK,2,"PolyGate([(2.0e3, 5.7e3), (5.4e3, 5.7e3), (5.4e3, 8.0e3), (2.0e3, 8.0e3)], ('VL4-H', 'BL3-H'), region='in', name='nk')"
4-26,1,NKT,2,"PolyGate([(5.8e3, 5.3e3), (7.7e3, 5.3e3), (7.7e3, 7.3e3), (5.8e3, 7.3e3)], ('VL4-H', 'BL3-H'), region='in', name='nkt')"
4-26,1,CD8+,3,"PolyGate([(4.7e3, 5.7e3), (8.1e3, 5.7e3), (8.1e3, 8.0e3), (4.7e3, 8.0e3)], ('VL4-H', 'VL6-H'), region='in', name='cd8')"
4-26,1,Naive CD8+,3,"ThresholdGate(7750.0, ['BL3-H'], region='above') & ThresholdGate(8800.0, ['BL3-H'], region='below')"
4-26,1,Mem CD8+,3,"ThresholdGate(3800.0, ['BL3-H'], region='above') & ThresholdGate(7200.0, ['BL3-H'], region='below')"
4-26,2,CD3CD4,1,"PolyGate([(5.1e03, 7.3e03), (5.1e03, 5.6e03), (7.8e03, 5.6e03), (7.8e03, 7.3e03)], ('VL4-H', 'VL6-H'), region='in', name='cd3cd4')"
4-26,2,T-helper,1,"PolyGate([(0.2e03, 6.8e03), (0.2e03, 4.5e03), (3.7e03, 4.5e03), (5.7e03, 6.0e03), (5.7e03, 6.8e03)], ('VL1-H', 'BL1-H'), region='in', name='thelp')"
4-26,2,Naive Th,1,"ThresholdGate(7150.0, ['BL3-H'], region='above') & ThresholdGate(8700.0, ['BL3-H'], region='below')"
4-26,2,Mem Th,1,"ThresholdGate(6700.0, ['BL3-H'], region='below') & ThresholdGate(2000.0, ['BL3-H'], region='above')"
4-26,2,T-reg,1,"PolyGate([(3.8e03, 4.4e03), (3.8e03, 3.0e03), (6.5e03, 2.9e03), (6.5e03, 5.2e03), (5.7e03, 5.9e03)], ('VL1-H', 'BL1-H'), region='in', name='treg')"
4-26,2,Naive Treg,1,"ThresholdGate(7150.0, ['BL3-H'], region='above') & ThresholdGate(8700.0, ['BL3-H'], region='below')"
4-26,2,Mem Treg,1,"ThresholdGate(6700.0, ['BL3-H'], region='below') & ThresholdGate(500.0, ['BL3-H'], region='above')"
4-26,2,NK,2,"PolyGate([(2.0e3, 5.7e3), (5.4e3, 5.7e3), (5.4e3, 8.0e3), (2.0e3, 8.0e3)], ('VL4-H', 'BL3-H'), region='in', name='nk')"
4-26,2,NKT,2,"PolyGate([(5.8e3, 5.3e3), (7.7e3, 5.3e3), (7.7e3, 7.3e3), (5.8e3, 7.3e3)], ('VL4-H', 'BL3-H'), region='in', name='nkt')"
4-26,2,CD8+,3,"PolyGate([(4.7e3, 5.7e3), (8.1e3, 5.7e3), (8.1e3, 8.0e3), (4.7e3, 8.0e3)], ('VL4-H', 'VL6-H'), region='in', name='cd8')"
4-26,2,Naive CD8+,3,"ThresholdGate(7720.0, ['BL3-H'], region='above') & ThresholdGate(8800.0, ['BL3-H'], region='below')"
4-26,2,Mem CD8+,3,"ThresholdGate(3800.0, ['BL3-H'], region='above') & ThresholdGate(7200.0, ['BL3-H'], region='below')"
